day,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,play
D79,0,0,0,1,0,1,1,1,0,1,0
D80,0,0,0,1,0,0,0,0,0,0,0
D81,1,0,0,1,0,1,0,0,0,0,0
D82,1,0,1,1,0,1,1,0,0,0,0
D83,1,0,0,1,1,1,0,1,0,1,0
D84,0,0,0,1,0,0,1,0,0,1,0
D85,1,0,0,1,1,1,0,1,0,0,0
D86,0,1,1,1,0,1,0,1,0,0,0
D87,1,1,0,1,0,0,0,1,0,1,0
D88,0,1,0,1,0,1,0,0,0,0,0
D89,0,0,1,1,1,1,0,1,0,0,0
D90,0,1,1,1,0,0,1,0,0,0,0
D91,1,0,1,1,0,1,1,0,0,0,0
D92,0,0,0,1,1,0,0,0,0,0,0
D93,1,1,0,1,0,1,1,0,0,1,0
D94,1,1,0,1,1,1,1,1,0,0,0
D95,1,0,1,1,0,1,0,1,0,0,0
D96,0,1,0,1,0,1,1,1,0,1,0
D97,0,0,0,1,0,1,1,0,0,0,0
D98,0,0,1,1,0,0,0,1,0,0,0
D99,1,0,0,1,1,1,0,1,0,0,0
D100,0,1,1,1,0,1,0,1,0,1,0
D101,0,0,1,1,0,0,0,0,0,0,0
D102,0,1,0,1,1,1,1,1,0,1,0
D103,0,0,1,1,0,1,0,0,0,1,0
D104,0,0,0,1,1,1,0,1,0,1,0
D105,1,0,1,1,0,1,0,1,0,1,0
D106,1,0,0,1,0,1,0,0,0,0,0
D107,0,0,0,1,1,1,0,1,0,0,0
D108,0,1,1,1,1,1,1,1,1,0,0
D109,1,1,1,1,0,1,0,1,0,1,0
D110,1,1,1,1,0,1,0,1,0,1,0
D111,0,0,1,1,0,1,1,1,0,0,0
D112,1,0,0,1,0,1,0,0,0,0,0
D113,0,0,0,1,1,1,0,0,1,0,0
D114,0,1,1,1,0,0,1,1,0,1,0
D115,0,0,0,1,0,0,1,1,0,0,0
D116,1,0,0,1,0,1,1,0,0,0,0
D117,1,0,1,1,0,1,0,0,0,0,0
D118,1,0,0,1,0,1,1,1,0,0,0
D119,0,0,1,1,0,1,0,0,1,0,0
D120,1,0,1,1,0,1,0,1,0,0,0
D121,1,0,1,1,0,1,1,0,1,0,0
D122,1,0,1,1,0,1,0,0,1,1,0
D123,0,0,0,1,0,1,1,0,0,0,0
D124,1,1,1,1,0,0,1,0,1,1,0
D125,0,0,1,1,0,1,0,1,0,0,0
D126,1,0,1,1,0,1,0,1,1,0,0
D127,1,0,0,1,1,1,0,0,0,0,0
D128,1,0,0,1,0,1,0,1,0,0,0
D129,1,0,1,1,1,1,0,1,0,1,0
D130,1,0,1,1,1,1,0,1,1,0,0
D131,1,1,0,1,1,1,0,0,0,0,0
D132,0,0,0,1,0,1,0,1,0,0,0
D133,1,0,0,1,0,1,1,0,0,0,0
D134,1,0,0,1,1,1,1,0,0,0,0
D135,1,0,0,1,0,1,0,0,0,0,0
D136,0,0,1,1,0,1,0,0,1,0,0
D137,1,0,1,1,0,1,1,0,0,0,0
D138,0,0,1,1,0,0,0,0,1,0,0
D139,1,0,1,1,0,1,0,1,1,1,0
D140,1,1,0,1,1,1,0,1,0,0,0
D141,1,0,0,1,0,1,0,0,0,0,0
D142,1,0,0,1,0,1,1,1,0,0,0
D143,1,1,0,1,1,1,0,0,0,1,0
D144,0,1,0,1,1,1,1,1,0,0,0
D145,0,0,0,1,1,1,1,1,0,0,0
D146,1,1,0,1,1,1,1,1,0,0,0
D147,1,0,1,1,0,1,1,1,0,0,0
D148,0,0,0,1,1,1,0,1,0,0,0
D149,0,1,0,1,0,0,1,0,1,0,0
D150,1,0,1,1,1,1,0,1,1,1,0
D151,0,0,1,1,0,1,1,0,1,0,0
D152,0,0,0,1,1,1,0,1,0,1,0
D153,1,0,0,1,1,1,0,1,0,1,0
D154,0,0,1,1,0,0,1,0,1,0,0
D155,1,1,1,1,0,1,0,0,1,0,0
D156,1,0,0,1,0,1,0,1,0,0,0
D157,0,0,1,1,0,0,0,0,1,0,0
D158,1,1,1,1,0,1,0,0,0,0,0
D159,1,0,1,1,1,1,0,1,0,0,0
D160,0,0,0,1,1,0,0,0,0,0,0
D161,0,1,1,1,1,0,0,1,1,1,0
D162,1,0,0,1,0,1,0,0,0,0,0
D163,0,0,0,1,1,1,0,1,0,0,0
D164,1,0,0,1,0,1,1,1,0,0,0
D165,1,0,1,1,0,1,1,1,1,0,0
D166,1,0,1,1,0,1,0,0,1,0,0
D167,1,0,1,1,1,1,0,0,1,1,0
D168,1,0,1,1,0,0,0,1,0,0,0
D169,1,0,0,1,0,1,0,1,0,0,0
D170,1,0,1,1,0,0,0,0,1,0,0
D171,1,0,1,1,0,1,1,1,1,0,0
D172,1,0,0,1,0,1,1,1,0,0,0
D173,1,0,0,1,0,1,0,0,0,1,0
D174,1,1,1,1,0,1,1,1,1,0,0
D175,1,0,0,1,0,0,0,1,0,0,0
D176,0,1,0,1,0,1,0,1,0,1,0
D177,0,1,1,1,0,1,1,1,0,0,0
D178,0,0,0,1,1,1,0,1,0,0,0
D179,0,0,1,1,1,0,0,0,1,1,0
D180,1,1,0,1,0,1,1,0,0,0,0
D181,1,0,1,1,1,1,0,0,1,0,0
D182,1,0,1,1,1,1,0,1,0,0,0
D183,1,0,0,1,0,1,0,1,0,0,0
D184,0,0,1,1,1,1,0,1,1,0,0
D185,1,0,0,1,0,1,0,0,0,0,0
D186,1,0,0,1,1,1,1,0,0,0,0
D187,1,1,1,1,1,1,0,1,1,0,0
D188,1,1,0,1,0,1,1,1,0,1,0
D189,1,1,0,1,1,1,0,0,0,1,0
D190,1,0,1,1,0,1,0,0,1,1,0
D191,0,1,1,1,1,1,1,1,1,0,0
D192,0,0,0,1,0,1,0,0,0,0,0
D193,1,0,0,1,0,1,0,0,0,0,0
D194,1,1,1,1,0,1,1,0,1,0,0
D195,0,0,0,1,0,0,0,0,0,0,0
D196,1,0,1,1,0,1,0,1,1,0,0
D197,1,1,1,1,1,1,0,1,1,1,0
D198,0,0,0,1,0,1,0,1,0,0,0
D199,1,1,0,1,1,1,0,0,0,1,0
D200,1,0,0,1,0,1,0,1,0,0,0
D201,1,0,1,1,0,0,0,1,1,0,0
D202,1,0,1,1,1,1,0,1,1,0,0
D203,0,0,0,1,1,0,0,1,0,0,0
D204,1,1,1,1,0,1,0,0,1,0,0
D205,1,0,0,1,0,1,0,0,0,0,0
D206,0,0,0,1,0,0,0,0,0,0,0
D207,0,0,1,1,0,0,0,1,0,0,0
D208,1,1,1,1,0,1,1,0,0,1,0
D209,0,0,0,1,1,1,0,1,0,1,0
D210,1,1,0,1,0,1,1,1,0,1,0
D211,1,1,1,1,0,1,1,0,0,0,0
D212,1,0,0,1,0,1,0,1,0,0,0
D213,0,1,1,1,0,1,0,0,0,0,0
D214,1,0,0,1,1,1,0,1,0,1,0
D215,1,1,0,1,0,1,1,0,0,0,0
D216,0,1,1,1,1,0,1,1,0,1,0
D217,1,0,1,1,0,1,0,0,1,1,0
D218,1,1,1,1,0,1,1,0,1,0,0
D219,1,1,0,1,0,1,1,0,0,0,0
D220,0,0,1,1,0,0,0,0,0,0,0
D221,1,1,1,1,0,1,0,1,0,1,0
D222,1,0,1,1,0,1,0,1,1,0,0
D223,1,0,0,1,0,1,0,0,0,1,0
D224,0,0,1,1,0,0,0,0,1,0,0
D225,0,0,0,1,0,1,1,0,0,0,0
D226,1,0,1,1,0,1,1,0,1,0,0
D227,0,1,0,1,0,0,1,1,0,0,0
D228,1,0,0,1,0,1,0,0,0,0,0
D229,1,1,0,1,0,1,0,0,0,1,0
D230,0,0,0,1,1,0,1,1,0,0,0
D231,1,0,1,1,0,1,0,0,1,0,0
D232,1,0,1,1,0,1,0,0,0,1,0
D233,1,0,0,1,0,1,0,1,0,0,0
D234,1,1,0,1,0,1,1,0,0,0,0
D235,0,0,1,1,0,0,0,0,0,0,0
D236,0,0,0,1,0,1,0,0,0,0,0
D237,1,1,0,1,0,1,0,0,0,0,0
D238,1,0,1,1,0,1,0,0,0,1,0
D239,0,0,0,1,1,1,1,0,0,1,0
D240,1,1,1,1,1,1,1,1,1,0,0
D241,0,0,1,1,0,1,0,1,0,0,0
D242,1,0,1,1,1,1,0,1,0,1,0
D243,0,0,1,1,1,1,0,1,1,0,0
D244,1,0,1,1,1,1,1,1,1,0,0
D245,0,0,0,1,0,1,0,1,0,0,0
D246,1,1,1,1,1,1,1,1,0,1,0
D247,1,0,0,1,0,1,0,1,0,1,0
D248,0,1,0,1,0,0,1,0,0,1,0
D249,0,0,1,1,0,1,0,0,0,0,0
D250,0,0,1,1,0,1,0,1,1,1,0
D251,1,0,1,1,0,1,0,0,0,0,0
D252,1,0,1,1,1,1,0,1,0,1,0
D253,1,0,0,1,0,1,0,0,0,0,0
D254,0,0,1,1,0,1,0,1,1,0,0
D255,1,0,1,1,0,1,0,0,0,0,0
D256,0,1,0,1,0,1,1,0,0,1,0
D257,0,0,1,1,0,1,0,0,0,1,0
D258,0,0,1,1,0,1,0,1,0,0,0
D259,0,0,0,1,1,1,0,0,0,0,0
D260,0,0,1,1,0,1,0,1,1,0,0
D261,1,1,1,1,1,1,1,1,1,0,0
D262,0,1,1,1,1,1,0,1,1,1,0
D263,1,0,0,1,0,1,1,1,0,0,0
D264,1,0,0,1,0,1,1,0,0,0,0
D265,1,0,1,1,0,1,0,0,0,0,0
D266,1,0,0,1,0,1,0,1,0,0,0
D267,1,1,0,1,0,1,1,0,0,0,0
D268,0,0,1,1,0,1,0,1,0,1,0
D269,0,0,0,1,0,1,0,1,0,0,0
D270,1,0,1,1,1,1,0,0,1,0,0
D271,0,1,0,1,0,0,1,0,1,0,0
D272,0,0,1,1,0,1,0,1,0,0,0
D273,1,1,1,0,1,1,0,0,1,0,0
D274,1,0,0,1,1,1,1,1,0,0,0
D275,0,0,0,1,0,1,0,1,0,0,0
D276,1,0,0,1,0,1,0,1,0,0,0
D277,0,0,1,1,0,1,1,0,0,0,0
D278,1,0,1,1,0,1,0,0,0,0,0
D279,1,1,1,1,1,1,0,1,0,0,0
D280,1,0,0,1,0,1,1,0,0,1,0
D281,1,0,1,1,0,1,0,1,0,0,0
D282,1,0,0,1,0,1,1,1,0,0,0
D283,1,1,1,1,0,1,0,0,0,0,0
D284,1,1,0,1,0,1,0,0,0,0,0
D285,0,1,0,1,0,1,1,1,0,0,0
D286,1,1,1,1,0,0,0,0,1,0,0
D287,1,0,0,1,1,1,1,1,0,0,0
D288,1,1,0,1,0,1,0,0,0,1,0
D289,1,0,1,1,1,1,0,1,0,1,0
D290,1,0,1,1,0,1,0,0,0,0,0
D291,1,0,1,1,0,1,0,1,0,1,0
D292,1,0,1,1,0,1,0,0,1,0,0
D293,1,1,1,1,1,1,0,1,1,1,0
D294,1,0,1,1,1,1,0,1,0,0,0
D295,0,0,0,1,0,1,0,1,0,0,0
D296,1,0,1,1,0,1,0,1,0,0,0
D297,0,1,0,1,0,0,1,0,0,1,0
D298,1,1,0,1,0,1,1,1,0,0,0
D299,1,0,1,1,0,1,0,1,0,1,0
D300,1,0,0,1,0,1,0,1,0,0,0
D301,1,0,1,1,0,1,0,1,0,0,0
D302,1,0,0,1,0,1,0,1,0,0,0
D303,0,0,1,1,0,0,1,0,1,1,0
D304,1,0,1,1,0,1,0,0,1,0,0
D305,1,0,1,1,0,1,0,0,1,1,0
D306,0,0,0,1,0,1,0,0,0,1,0
D307,0,0,1,1,0,1,0,0,0,0,0
D308,0,1,1,1,1,1,0,0,1,0,0
D309,0,1,1,1,0,1,0,1,1,1,0
D310,0,1,0,1,0,1,1,1,0,0,0
D311,0,0,1,1,0,1,0,0,1,0,0
D312,1,0,1,1,1,1,1,1,1,0,0
D313,0,1,0,1,0,1,0,0,0,1,0
D314,0,0,0,1,1,1,0,1,0,0,0
D315,1,0,0,1,0,1,0,1,0,0,0
D316,1,0,0,1,0,1,1,1,0,0,0
D317,1,0,1,1,0,0,0,1,0,0,0
D318,0,0,0,1,1,0,0,0,0,0,0
D319,1,1,0,1,1,1,0,1,0,1,0
D320,0,1,0,0,0,1,0,1,0,0,0
D321,1,0,1,1,1,1,0,1,0,0,0
D322,1,0,1,1,0,1,1,1,1,1,0
D323,1,0,1,1,0,1,0,0,0,1,0
D324,1,0,0,1,0,0,0,0,0,0,0
D325,1,0,1,1,0,1,1,0,0,0,0
D326,1,0,0,1,1,1,0,0,0,0,0
D327,1,0,1,1,1,1,0,1,0,1,0
D328,1,1,1,1,1,1,1,0,0,0,0
D329,1,0,0,1,0,1,0,0,0,1,0
D330,1,1,1,1,0,1,0,1,0,1,0
D331,1,0,0,1,0,1,1,0,0,0,0
D332,0,0,0,1,1,1,1,1,0,0,0
D333,1,1,1,1,0,1,1,0,0,0,0
D334,0,1,1,1,0,1,0,1,0,0,0
D335,0,0,1,1,1,1,1,1,0,1,0
D336,1,1,1,1,0,1,1,0,1,0,0
D337,0,0,1,1,0,1,0,1,0,0,0
D338,1,0,0,1,0,1,0,0,1,1,0
D339,1,1,1,1,0,1,0,0,1,0,0
D340,1,0,0,1,1,1,1,1,0,0,0
D341,0,0,1,1,0,1,0,1,0,1,0
D342,0,0,1,1,1,0,0,1,0,0,0
D343,0,0,1,1,1,1,1,1,0,0,0
D344,1,1,1,1,0,1,0,0,0,0,0
D345,0,0,0,1,0,1,0,1,0,0,0
D346,0,0,0,1,1,1,0,1,0,0,0
D347,1,0,1,1,0,1,0,0,1,0,0
D348,1,0,0,1,0,1,1,1,0,0,0
D349,1,1,1,1,0,1,0,1,0,0,0
D350,0,0,1,1,0,1,1,0,0,1,0
D351,1,0,1,1,0,1,0,0,1,0,0
D352,1,1,0,1,0,1,0,0,0,1,0
D353,1,0,1,1,0,1,0,0,1,0,0
D354,1,0,1,1,0,0,0,0,0,1,0
D355,1,1,0,1,0,1,1,1,0,0,0
D356,1,1,0,1,0,1,0,0,0,1,0
D357,1,1,1,1,0,1,0,0,1,1,0
D358,0,1,0,1,1,1,1,1,0,0,0
D359,1,0,1,1,0,1,0,0,0,1,0
D360,1,1,1,1,1,1,0,0,0,1,0
D361,1,0,0,1,1,1,0,1,0,0,0
D362,0,0,1,1,0,1,0,1,0,0,0
D363,0,1,0,1,0,1,1,1,0,0,0
D364,0,0,1,1,1,0,0,1,1,0,0
D365,1,0,1,1,1,1,0,1,1,0,0
D366,1,0,1,1,0,1,0,0,1,0,0
D367,0,0,1,1,1,1,1,1,0,0,0
D368,0,0,0,1,0,1,0,1,0,0,0
D369,0,0,0,1,0,1,0,1,0,0,0
D370,0,1,0,1,1,0,0,1,0,0,0
D371,0,0,1,1,1,1,0,1,0,1,0
D372,1,0,1,1,1,1,0,1,0,0,0
D373,0,1,1,1,0,1,0,0,1,0,0
D374,0,0,0,1,1,1,0,1,0,1,0
D375,0,0,1,1,0,1,0,0,1,0,0
D376,0,0,0,1,1,0,0,1,0,0,0
D377,1,0,0,1,1,1,0,1,0,1,0
D378,1,0,0,1,0,1,0,0,0,0,0
D379,0,0,1,1,1,0,1,1,1,1,0
D380,1,1,0,1,1,1,0,1,0,1,0
D381,0,1,1,1,0,1,1,0,1,0,0
D382,0,0,1,1,0,1,0,0,1,0,0
D383,0,1,1,1,0,1,1,1,1,0,0
D384,1,0,1,1,1,1,0,0,1,1,0
D385,0,0,1,1,0,1,0,0,1,0,0
D386,1,0,0,1,0,1,0,0,0,0,0
D387,1,0,0,1,0,1,1,1,0,0,0
D388,0,0,0,1,0,1,0,1,0,1,0
D389,0,1,1,1,1,1,1,0,0,0,0
D390,1,0,1,1,0,1,1,0,0,1,0
D391,1,0,0,1,0,1,0,1,0,0,0
D392,1,1,1,1,0,1,0,0,0,0,0
D393,1,1,0,1,0,1,0,1,0,1,0
D394,0,0,1,1,0,1,0,1,1,0,0
D395,0,1,0,1,1,1,0,1,0,0,0
D396,1,0,0,1,0,1,0,1,0,1,0
D397,1,0,1,1,0,1,0,0,1,1,0
D398,0,1,1,1,0,0,0,0,0,1,0
D399,1,0,1,1,0,1,1,0,1,0,0
D400,0,1,1,1,1,0,0,0,0,0,0
D401,1,1,1,1,0,1,1,1,1,1,0
D402,1,1,0,1,0,1,0,1,0,0,0
D403,0,1,1,1,1,1,1,1,0,0,0
D404,1,1,0,1,0,1,1,1,0,1,0
D405,0,0,0,1,0,0,0,1,0,0,0
D406,0,0,0,1,0,1,0,0,0,0,0
D407,1,0,0,1,1,1,0,1,0,0,0
D408,0,0,0,1,1,1,1,0,0,0,0
D409,1,1,1,1,1,1,0,0,0,1,0
D410,1,0,1,1,1,1,1,1,0,1,0
D411,1,1,0,1,0,1,0,1,0,0,0
D412,1,1,1,1,0,1,1,0,0,1,0
D413,1,0,0,1,0,1,0,0,0,1,0
D414,1,0,1,1,0,1,0,1,0,1,0
D415,1,0,1,1,1,1,1,1,0,0,0
D416,1,0,0,1,0,1,0,0,0,0,0
D417,0,0,1,1,0,1,0,0,1,1,0
D418,0,1,1,1,0,1,0,1,0,1,0
D419,1,1,1,1,1,1,1,0,1,1,0
D420,0,1,1,1,0,1,1,1,1,0,0
D421,1,0,1,1,1,1,1,0,1,0,0
D422,0,1,1,1,1,1,0,1,0,1,0
D423,0,0,0,1,0,0,1,1,0,0,0
D424,0,0,1,1,0,1,0,1,1,0,0
D425,1,0,1,1,0,1,0,0,1,0,0
D426,0,1,0,1,1,1,0,1,0,0,0
D427,0,0,0,1,1,1,1,1,0,0,0
D428,0,0,0,1,0,1,1,1,0,1,0
D429,0,1,0,1,0,1,1,1,0,0,0
D430,0,0,0,1,1,1,0,1,0,0,0
D431,1,1,1,1,0,1,0,1,1,0,0
D432,0,0,1,1,1,1,0,1,1,1,0
D433,1,1,0,1,0,1,0,0,0,0,0
D434,1,0,0,1,0,1,0,0,0,1,0
D435,1,1,0,1,0,0,0,0,0,0,0
D436,0,0,0,1,1,1,0,1,0,0,0
D437,0,0,1,1,0,1,0,0,0,1,0
D438,0,0,0,1,1,1,0,1,0,0,0
D439,0,1,0,1,0,0,1,1,0,1,0
D440,0,0,1,1,1,1,0,1,1,0,0
D441,1,0,0,1,0,1,1,1,0,0,0
D442,1,0,1,1,1,1,0,1,1,0,0
D443,0,0,1,1,1,1,0,0,0,0,0
D444,0,0,0,1,1,1,0,1,0,0,0
D445,0,1,0,1,0,0,0,1,0,0,0
D446,1,1,0,1,0,1,0,1,0,0,0
D447,1,0,1,1,1,1,0,1,1,0,0
D448,1,0,1,1,1,1,0,1,1,0,0
D449,0,1,1,1,0,0,0,0,0,1,0
D450,1,0,0,1,1,1,0,1,0,0,0
D451,1,0,1,1,0,1,0,0,0,1,0
D452,0,0,0,1,0,1,0,1,0,1,0
D453,1,1,1,1,0,1,0,1,0,1,0
D454,0,1,0,1,1,1,1,0,0,1,0
D455,0,1,0,1,0,0,1,1,0,0,0
D456,0,0,0,1,0,1,0,1,0,0,0
D457,1,0,0,1,0,1,0,0,0,1,0
D458,1,1,0,1,1,1,1,1,0,1,0
D459,0,1,1,1,1,1,1,1,0,0,0
D460,1,1,1,1,0,1,0,0,0,1,0
D461,0,1,1,1,0,1,1,0,1,1,0
D462,1,0,1,1,0,1,0,1,0,0,0
D463,1,0,0,1,0,1,1,1,0,0,0
D464,1,0,0,1,0,1,0,0,0,0,0
D465,0,0,0,1,0,0,0,0,0,0,0
D466,1,0,1,1,0,1,0,1,0,0,0
D467,0,0,0,1,1,1,0,1,0,0,0
D468,1,1,0,1,0,1,1,0,0,1,0
D469,0,0,1,1,0,1,0,0,0,0,0
D470,1,1,1,1,0,1,0,1,1,1,0
D471,0,0,1,1,0,0,0,0,1,0,0
D472,0,0,1,1,0,1,0,1,1,1,0
D473,1,0,1,1,0,1,0,0,1,0,0
D474,1,0,1,1,0,1,0,0,0,0,0
D475,0,0,0,1,1,1,0,1,0,1,0
D476,1,0,1,1,1,1,0,1,1,0,0
D477,0,0,1,1,0,1,0,0,1,0,0
D478,0,0,0,1,0,0,0,1,0,0,0
D479,0,1,1,1,0,1,1,1,1,1,0
D480,0,0,0,1,0,1,0,1,0,0,0
D481,1,1,1,1,0,1,0,0,1,0,0
D482,1,1,0,1,1,1,0,1,0,1,0
D483,1,0,1,1,1,1,0,1,1,0,0
D484,0,1,1,1,0,1,1,0,0,0,0
D485,1,0,1,1,0,1,1,0,0,0,0
D486,1,0,0,1,0,0,1,1,0,0,0
D487,0,0,1,1,0,1,0,0,0,0,0
D488,1,0,1,1,0,1,0,0,1,0,0
D489,0,0,0,1,1,1,0,0,0,1,0
D490,1,0,0,1,1,1,0,1,0,0,0
D491,1,0,0,1,0,1,1,1,0,0,0
D492,0,0,1,1,0,1,0,1,1,1,0
D493,0,0,1,1,0,1,1,1,0,0,0
D494,0,0,0,1,0,1,0,0,0,0,0
D495,0,0,0,1,0,1,1,0,0,0,0
D496,0,0,0,1,0,1,0,0,0,1,0
D497,1,0,1,1,0,1,0,1,0,0,0
D498,0,1,0,1,1,1,1,1,0,0,0
D499,0,1,1,1,1,1,0,1,1,0,0
D500,1,0,0,1,1,1,0,1,0,1,0
D501,0,0,0,1,1,1,0,0,0,1,0
D502,0,0,0,1,0,1,0,0,0,0,0
D503,1,0,0,1,0,1,0,1,0,0,0
D504,1,0,1,1,0,1,0,1,0,0,0
D505,1,0,0,1,0,1,0,1,0,0,0
D506,1,0,0,1,1,1,0,1,0,1,0
D507,0,1,0,1,0,1,0,1,0,1,0
D508,1,0,0,1,1,1,0,1,0,0,0
D509,0,1,0,1,0,1,1,1,0,1,0
D510,1,0,0,1,1,1,1,1,0,0,0
D511,1,0,0,1,0,1,0,0,0,1,0
D512,0,0,1,1,0,1,1,0,1,1,0
D513,1,0,0,1,0,1,1,0,0,0,0
D514,1,0,0,1,0,1,0,0,0,0,0
D515,1,0,0,1,0,1,0,1,0,1,0
D516,1,0,0,1,0,1,0,1,0,0,0
D517,1,0,1,1,1,1,0,1,0,0,0
D518,0,1,1,1,0,1,0,0,0,1,0
D519,1,1,1,1,0,1,1,1,0,1,0
D520,0,0,1,1,0,1,0,0,1,0,0
D521,0,1,0,1,0,1,1,1,0,0,0
D522,1,1,1,1,0,1,1,1,0,0,0
D523,0,0,1,1,1,0,0,1,0,0,0
D524,0,0,1,1,1,1,0,1,0,1,0
D525,1,0,1,1,1,1,1,1,1,0,0
D526,0,0,1,1,0,0,0,0,1,0,0
D527,0,0,1,1,1,1,0,1,0,0,0
D528,1,1,0,1,1,1,0,0,0,1,0
D529,0,0,0,1,0,0,0,1,0,0,0
D530,1,1,1,1,0,1,0,0,1,0,0
D531,1,0,1,1,1,1,0,1,1,0,0
D532,0,0,1,1,1,1,0,1,0,0,0
D533,1,0,0,1,1,1,0,1,0,0,0
D534,0,0,0,1,0,1,0,1,0,0,0
D535,1,0,1,1,1,1,0,1,0,1,0
D536,1,0,0,1,0,1,0,1,0,0,0
D537,0,0,0,1,0,1,0,1,0,1,0
D538,0,0,0,1,0,1,0,0,0,0,0
D539,0,0,1,1,1,1,1,1,1,1,0
D540,1,0,0,1,0,1,0,1,0,0,0
D541,0,0,1,1,1,0,0,1,0,0,0
D542,0,0,0,1,0,1,0,0,0,0,0
D543,0,0,1,1,0,1,1,0,0,1,0
D544,0,1,0,1,0,1,0,0,0,1,0
D545,1,1,1,1,1,1,1,0,0,0,0
D546,1,0,0,1,0,1,1,1,0,1,0
D547,1,0,1,1,1,1,0,1,1,0,0
D548,1,1,1,1,1,1,1,1,1,0,0
D549,0,1,0,1,1,1,0,1,0,0,0
D550,0,0,1,1,0,1,1,0,1,0,0
D551,0,1,1,1,0,1,1,0,1,1,0
D552,1,0,0,1,1,1,0,0,0,1,0
D553,1,1,1,1,0,1,1,0,0,0,0
D554,1,1,0,1,1,1,0,1,0,0,0
D555,1,1,1,1,1,1,0,1,0,1,0
D556,1,1,0,1,1,1,0,1,0,1,0
D557,1,0,1,1,0,1,1,1,0,0,0
